common_name,weight,feeder.hopper,feeder.tube,feeder.nyjer,feeder.platform,feeder.ground,feeder.suet,pef.black_oil_sunflower,pref.striped_sunflower,pref.hulled_sunflower,pref.millet,pref.milo,pref.nyjer,pref.shelled_peanuts,pref.safflower,pref.corn
jay,85.0,1,,,1,1,,3,3,3,0,1,0,2,1,2
sparrow,31.2,1,1,,1,,,3,3,3,3,2,0,0,1,2
cardinal,45.4,1,1,,1,1,,3,3,3,1,0,0,0,3,1
goldfinch,15.6,1,,1,,,,3,2,3,1,0,3,0,0,0
house finch,21.0,1,,1,,,,3,2,3,2,0,3,0,1,0
purple finch,34.0,1,,1,,,,3,2,3,1,0,3,0,0,0
siskin,14.2,,1,1,,,,1,1,3,0,0,3,0,0,1
grosbeak,49.6,1,,,1,,,2,2,3,0,0,0,0,1,0
junco,24.1,1,,,1,1,,1,1,1,1,0,1,0,0,3
towhee,39.7,1,,,1,1,,3,3,3,1,0,0,1,1,1
chickadee,11.3,1,,1,1,,1,3,2,2,0,0,0,2,2,0
titmouse,21.3,1,1,,,1,1,3,2,2,0,0,1,2,1,0
nuthatch,24.1,1,1,,,,1,3,2,2,0,0,0,1,1,0
woodpecker,,1,,,1,,1,2,2,3,0,0,0,1,1,1
dove,127.6,,,,1,1,,2,1,2,3,3,1,0,2,2
