START YEAR,END YEAR,CLOSED,OPENED
1970,1971,12/24/19,4/13/19
1971,1972,1/5/19,4/19/19
1972,1973,12/7/19,3/14/19
1973,1974,12/21/19,4/5/19
1974,1975,1/2/19,4/19/19
1975,1976,12/27/19,3/24/19
1976,1977,12/3/19,3/28/19
1977,1978,12/7/19,12/8/19
1977,1978,12/10/19,4/11/19
1978,1979,12/10/19,12/13/19
1978,1979,12/25/19,4/19/19
1979,1980,12/29/19,4/6/19
1980,1981,12/20/19,3/23/19
1981,1982,12/28/19,4/3/19
1982,1983,1/13/19,3/8/19
1983,1984,12/19/19,4/8/19
1984,1985,12/25/19,12/26/19
1984,1985,1/2/19,3/27/19
1985,1986,12/14/19,3/31/19
1986,1987,12/13/19,3/12/19
1987,1988,1/2/19,3/29/19
1988,1989,12/29/19,4/5/19
1989,1990,12/12/19,3/15/19
1990,1991,12/26/19,3/24/19
1991,1992,12/18/19,3/26/19
1992,1993,12/24/19,4/11/19
1993,1994,12/27/19,3/31/19
1994,1995,1/6/19,3/21/19
1995,1996,12/10/19,4/7/19
1996,1997,12/20/19,4/1/19
1997,1998,1/11/19,2/27/19
1998,1999,12/30/19,3/21/19
1999,2000,1/14/19,3/7/19
2000,2001,12/13/19,4/7/19
2001,2002,1/2/19,1/12/19
2001,2002,3/4/19,3/15/19
2002,2003,1/4/19,4/3/19
2003,2004,1/7/19,3/27/19
2004,2005,12/25/19,4/5/19
2005,2006,12/19/19,3/24/19
2006,2007,1/20/19,3/27/19
2007,2008,12/26/19,4/10/19
2008,2009,12/16/19,3/23/19
2009,2010,12/29/19,3/26/19
2010,2011,12/15/19,4/3/19
2011,2012,1/14/19,3/11/19
2012,2013,1/14/19,4/11/19
2013,2014,12/16/19,4/12/19
2014,2015,1/2/19,4/3/19
2015,2016,1/11/19,3/13/19
2016,2017,1/1/19,3/7/19
2017,2018,12/27/19,3/31/19
