birth.cty,dynasty,birth.city.lat,birth.city.long
Rome,Julio-Claudian,41.9,12.5
Antitum,Julio-Claudian,41.447947,12.629053
Lugdunum,Julio-Claudian,45.759722,4.819444
Terracina,Flavian,41.283333,13.25
Terentinum,Flavian,42.4886,12.1325
Rome,Flavian,41.9,12.5
Falacrine,Flavian,42.593611,13.170556
Narni,Nerva-Antonine,42.516667,12.516667
Italica,Nerva-Antonine,37.443889,-6.046667
Lanuvium,Nerva-Antonine,41.674696,12.69758
Rome,Nerva-Antonine,41.9,12.5
Alba,Severan,44.7,8.033333
Milan,Severan,45.466667,9.183333
Leptis Magna,Severan,32.639167,14.290556
Lugdunum,Severan,45.759722,4.819444
Rome,Severan,41.9,12.5
Iol Caesarea,Severan,36.61,2.196667
Emesa,Severan,34.730833,36.709444
Arca Caesarea,Severan,34.530556,36.045833
Rome,Gordian,41.9,12.5
Shahba,Gordian,32.854167,36.629167
Budalia,Gordian,45.016667,19.466667
Sirmium,Gordian,44.983333,19.616667
Interamna Nahars,Gordian,42.561944,12.641389
Narbo,Gordian,43.1836,3.0042
Salona,Constantinian,43.538438,16.474342
Sirmium,Constantinian,44.983333,19.616667
Romuliana,Constantinian,43.899167,22.185
Naissus,Constantinian,43.3,21.9
Felix Romuliana,Constantinian,43.899167,22.185
Arelate,Constantinian,43.6767,4.6278
Constantinople,Constantinian,41.013889,28.955556
Singidunum,Constantinian,44.82,20.46
Cibalae,Valentinian,45.291111,18.801111
Sirmium,Valentinian,44.983333,19.616667
Milan,Valentinian,45.466667,9.183333
Cauca,Theodosian,41.2167,-4.5167
