name,birth,death,birth.cty,birth.prv,rise,reign.start,reign.end,cause,killer,dynasty,era
Augustus,-0062-9-23,-0014-8-19,Rome,Italia,Birthright,-0026-1-16,-0014-08-19,Assassination,Wife,Julio-Claudian,Principate
Tiberius,-0041-11-16,0037-03-16,Rome,Italia,Birthright,0014-09-18,0037-03-16,Assassination,Other Emperor,Julio-Claudian,Principate
Caligula,0012-08-31,0041-01-24,Antitum,Italia,Birthright,0037-03-18,0041-01-24,Assassination,Senate,Julio-Claudian,Principate
Claudius,-0009-8-1,0054-10-13,Lugdunum,Gallia Lugdunensis,Birthright,0041-01-25,0054-10-13,Assassination,Wife,Julio-Claudian,Principate
Nero,0037-12-15,0068-06-09,Antitum,Italia,Birthright,0054-10-13,0068-06-09,Suicide,Senate,Julio-Claudian,Principate
Galba,-0002-12-24,0069-01-15,Terracina,Italia,Seized Power,0068-06-08,0069-01-15,Assassination,Other Emperor,Flavian,Principate
Otho,0032-04-28,0069-04-16,Terentinum,Italia,Appointment by Praetorian Guard,0069-01-15,0069-04-16,Suicide,Other Emperor,Flavian,Principate
Vitellius,0015-09-24,0069-12-20,Rome,Italia,Seized Power,0069-04-17,0069-12-20,Assassination,Other Emperor,Flavian,Principate
Vespasian,0009-11-17,0079-06-24,Falacrine,Italia,Seized Power,0069-12-21,0079-06-24,Natural Causes,Disease,Flavian,Principate
Titus,0039-12-30,0081-09-13,Rome,Italia,Birthright,0079-06-24,0081-09-13,Natural Causes,Disease,Flavian,Principate
Domitian,0051-10-24,0096-09-18,Rome,Italia,Birthright,0081-09-14,0096-09-18,Assassination,Court Officials,Flavian,Principate
Nerva,0030-11-08,0098-01-27,Narni,Italia,Appointment by Senate,0096-09-18,0098-01-27,Natural Causes,Disease,Nerva-Antonine,Principate
Trajan,0053-09-18,0117-08-07,Italica,Hispania Baetica,Birthright,0098-01-28,0117-08-07,Natural Causes,Disease,Nerva-Antonine,Principate
Hadrian,0076-01-24,0138-07-10,Italica,Hispania Baetica,Birthright,0117-08-11,0138-07-10,Natural Causes,Heart Failure,Nerva-Antonine,Principate
Antonius Pius,0086-09-19,0161-03-07,Lanuvium,Italia,Birthright,0138-07-10,0161-03-07,Natural Causes,Disease,Nerva-Antonine,Principate
Marcus Aurelius,0121-04-26,0180-03-17,Rome,Italia,Birthright,0161-03-07,0180-03-17,Natural Causes,Disease,Nerva-Antonine,Principate
Lucius Verus,0130-12-15,0169-03-15,Rome,Italia,Birthright,0161-03-07,0169-03-15,Natural Causes,Disease,Nerva-Antonine,Principate
Commodus,0161-08-31,0192-12-31,Lanuvium,Italia,Birthright,0177-01-01,0192-12-31,Assassination,Praetorian Guard,Nerva-Antonine,Principate
Pertinax,0126-08-01,0193-03-28,Alba,Italia,Appointment by Praetorian Guard,0193-01-01,0193-03-28,Assassination,Praetorian Guard,Severan,Principate
Didius Julianus,0133-01-30,0193-07-01,Milan,Italia,Purchase,0193-03-28,0193-07-01,Execution,Senate,Severan,Principate
Septimus Severus,0145-04-11,0211-02-04,Leptis Magna,Libya,Seized Power,0193-04-09,0211-02-04,Natural Causes,Disease,Severan,Principate
Caracalla,0188-04-04,0217-04-08,Lugdunum,Gallia Lugdunensis,Birthright,0198-01-01,0217-04-08,Assassination,Other Emperor,Severan,Principate
Geta,0189-03-07,0211-12-19,Rome,Aa,Birthright,0209-01-01,0211-12-26,Assassination,Other Emperor,Severan,Principate
Macrinus,0165-01-01,0218-06-08,Iol Caesarea,Mauretania,Seized Power,0217-04-11,0218-06-08,Execution,Other Emperor,Severan,Principate
Elagabalus,0203-01-01,0222-03-11,Emesa,Syria,Birthright,0218-06-08,0222-03-11,Assassination,Praetorian Guard,Severan,Principate
Severus Alexander,0208-10-01,0235-03-18,Arca Caesarea,Syria,Birthright,0222-03-13,0235-03-18,Assassination,Own Army,Severan,Principate
Maximinus I,0173-01-01,0238-06-15,,Thrace,Appointment by Praetorian Guard,0235-03-20,0238-06-15,Assassination,Praetorian Guard,Gordian,Principate
Gordian I,0159-01-01,0238-04-12,,Phrygia,Appointment by Senate,0238-03-22,0238-04-12,Suicide,Other Emperor,Gordian,Principate
Gordian II,0192-01-01,0238-04-12,,Unknown,Appointment by Senate,0238-03-22,0238-04-12,Execution,Other Emperor,Gordian,Principate
Pupienus,0178-01-01,0238-07-29,,Unknown,Appointment by Senate,0238-04-22,0238-07-29,Assassination,Praetorian Guard,Gordian,Principate
Balbinus,0178-01-01,0238-07-29,,Unknown,Appointment by Senate,0238-04-22,0238-07-29,Assassination,Praetorian Guard,Gordian,Principate
Gordian III,0225-01-20,0244-02-11,Rome,Italia,Appointment by Senate,0238-04-22,0244-02-11,Died in Battle,Opposing Army,Gordian,Principate
Philip I,0204-01-01,0249-10-01,Shahba,Syria,Seized Power,0244-02-14,0249-10-01,Execution,Other Emperor,Gordian,Principate
Trajan Decius,0201-01-01,0251-06-15,Budalia,Pannonia Inferior,Appointment by Army,0249-10-01,0251-06-15,Died in Battle,Opposing Army,Gordian,Principate
Hostilian,0230-01-01,0251-10-01,Sirmium,Pannonia,Birthright,0251-06-15,0251-10-01,Natural Causes,Disease,Gordian,Principate
Trebonianus Gallus,0206-01-01,0253-08-15,,Italia,Appointment by Army,0251-06-15,0253-08-15,Assassination,Other Emperor,Gordian,Principate
Aemilian,0207-01-01,0253-10-15,,Africa,Appointment by Army,0253-08-15,0253-10-15,Assassination,Other Emperor,Gordian,Principate
