country,2017,2016,2015,linkages
Switzerland,4,2,1,
Iceland,3,3,2,
Denmark,2,1,3,
Norway,1,4,4,
Canada,7,6,5,
Finland,5,5,6,
Netherlands,6,7,7,
Sweden,9,10,8,
New Zealand,8,8,9,
Australia,10,9,10,
Israel,11,11,11,
Costa Rica,12,14,12,
Austria,13,12,13,
Mexico,25,21,14,
United States,14,13,15,
Brazil,22,17,16,
Luxembourg,18,20,17,
Ireland,15,19,18,
Belgium,17,18,19,
United Arab Emirates,21,28,20,
United Kingdom,19,23,21,
Oman,#N/A,#N/A,22,
Venezuela,82,44,23,
Singapore,26,22,24,
Panama,30,25,25,
Germany,16,16,26,
Chile,20,24,27,
Qatar,35,36,28,
France,31,32,29,
Argentina,24,26,30,
Czech Republic,23,27,31,
Uruguay,28,29,32,
Colombia,36,31,33,
Thailand,32,33,34,
Saudi Arabia,37,34,35,
Spain,34,37,36,
Malta,27,30,37,
Taiwan,#N/A,34,38,Taiwan Province of China
Kuwait,39,41,39,
Suriname,#N/A,40,40,
Trinidad and Tobago,38,43,41,
El Salvador,45,46,42,
Guatemala,29,39,43,
Uzbekistan,47,49,44,
Slovakia,40,45,45,
Japan,51,53,46,
South Korea,55,57,47,
Ecuador,44,51,48,
Bahrain,41,42,49,
Italy,48,50,50,
Bolivia,58,59,51,
Moldova,56,55,52,
Paraguay,70,70,53,
Kazakhstan,60,54,54,
Slovenia,62,63,55,
Lithuania,52,60,56,
Nicaragua,43,48,57,
Peru,63,64,58,
Belarus,67,61,59,
Poland,46,57,60,
Malaysia,42,47,61,
Croatia,77,74,62,
Libya,68,67,63,
Russia,49,56,64,
Jamaica,76,73,65,
North Cyprus,61,62,66,
Cyprus,65,69,67,
Algeria,53,38,68,
Kosovo,78,77,69,
Turkmenistan,59,65,70,
Mauritius,64,66,71,
Hong Kong,#N/A,75,72,"Hong Kong S.A.R., China"
Estonia,66,72,73,
Indonesia,81,79,74,
Vietnam,94,96,75,
Turkey,69,78,76,
Kyrgyzstan,98,85,77,
Nigeria,95,103,78,
Bhutan,97,84,79,
Azerbaijan,85,81,80,
Pakistan,80,92,81,
Jordan,74,80,82,
Montenegro,83,88,82,
China,79,83,84,
Zambia,116,106,85,
Romania,57,71,86,
Serbia,73,86,87,
Portugal,89,94,88,
Latvia,54,68,89,
Philippines,72,82,90,
Somaliland Region,#N/A,97,91,
Morocco,84,90,92,
Macedonia,92,95,93,
Mozambique,113,#N/A,94,
Albania,109,109,95,
Bosnia and Herzegovina,90,87,96,
Lesotho,139,#N/A,97,
Dominican Republic,86,89,98,
Laos,#N/A,102,99,
Mongolia,100,101,100,
Swaziland,#N/A,#N/A,101,
Greece,87,99,102,
Lebanon,88,93,103,
Hungary,75,91,104,
Honduras,91,104,105,
Tajikistan,96,100,106,
Tunisia,102,98,107,
Palestinian Territories,103,108,108,
Bangladesh,110,110,109,
Iran,108,105,110,
Ukraine,132,123,111,
Iraq,117,112,112,
South Africa,101,116,113,
Ghana,131,124,114,
Zimbabwe,138,131,115,
Liberia,148,150,116,
India,122,118,117,
Sudan,130,133,118,
Haiti,145,136,119,
Congo (Kinshasa),126,125,120,
Nepal,99,107,121,
Ethiopia,119,115,122,
Sierra Leone,106,111,123,
Mauritania,123,130,124,
Kenya,112,122,125,
Djibouti,#N/A,#N/A,126,
Armenia,121,121,127,
Botswana,142,137,128,
Myanmar,114,119,129,
Georgia,125,126,130,
Malawi,136,132,131,
Sri Lanka,120,117,132,
Cameroon,107,114,133,
Bulgaria,105,129,134,
Egypt,104,120,135,
Yemen,146,147,136,
Angola,140,141,137,
Mali,127,135,138,
Congo (Brazzaville),124,127,139,
Comoros,#N/A,138,140,
Uganda,133,145,141,
Senegal,115,128,142,
Gabon,118,134,143,
Niger,135,142,144,
Cambodia,129,140,145,
Tanzania,153,149,146,
Madagascar,144,148,147,
Central African Republic,155,#N/A,148,
Chad,137,144,149,
Guinea,149,151,150,
Ivory Coast,128,139,151,
Burkina Faso,134,145,152,
Afghanistan,141,154,153,
Rwanda,151,152,154,
Benin,143,153,155,
Syria,152,156,156,
Burundi,154,157,157,
Togo,150,155,158,
Taiwan Province of China,33,#N/A,#N/A,Taiwan
Belize,50,52,#N/A,
"Hong Kong S.A.R., China",71,#N/A,#N/A,Hong Kong
Somalia,93,76,#N/A,
Namibia,111,113,#N/A,
South Sudan,147,143,#N/A,
Puerto Rico,#N/A,15,#N/A,
